distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,transaction_amount,repeat_retailer,used_chip,used_pin_number,online_order,is_foreign_transaction,transactions_last_24h,Class
11.94,10.25,0.62,39.43,1,0,0,1,0,1,0
0.97,7.69,1.49,76.99,0,0,0,0,0,1,0
6.27,0.55,0.51,38.37,1,1,0,0,0,1,0
47.53,3.43,1.45,15.49,1,1,1,0,0,3,0
3.58,3.6,1.46,130.57,0,1,0,0,0,3,0
29.64,1.72,1.62,183.12,1,1,0,0,0,3,0
29.04,13.49,0.91,27.03,1,1,1,1,0,6,0
23.71,4.53,1.92,167.31,1,1,1,0,1,2,0
25.62,9.87,0.29,68.85,0,1,1,0,0,6,0
18.73,0.12,0.1,93.99,1,1,0,1,0,2,0
1.5,2.9,0.62,29.79,1,0,0,0,0,2,0
1.85,8.69,0.58,48.45,1,1,1,1,0,3,0
10.49,1.85,1.3,65.05,1,1,1,1,0,4,0
53.31,0.27,1.12,61.69,1,1,1,1,0,2,0
9.57,14.32,0.34,97.42,1,1,1,0,1,1,0
24.22,3.11,0.89,107.9,0,1,1,1,1,2,0
6.06,0.38,1.26,198.52,1,0,1,1,1,2,0
5.93,1.89,1.67,35.29,1,1,0,1,1,4,0
18.18,16.84,1.07,81.04,1,0,1,0,0,2,0
36.98,11.07,1.34,52.2,1,1,0,0,1,0,0
20.52,2.65,0.71,22.9,1,1,1,1,0,3,0
14.15,0.48,1.03,36.95,1,0,1,0,1,1,0
11.92,7.58,1.98,69.84,1,1,1,0,0,2,0
0.05,0.39,1.66,83.59,1,1,1,0,0,3,0
3.2,2.51,1.38,56.35,1,0,0,0,0,1,0
4.49,0.99,0.99,222.11,1,1,1,0,1,1,0
8.62,0.63,1.07,46.16,1,1,1,0,0,2,0
9.87,9.91,1.76,50.51,1,1,1,0,0,1,0
16.34,8.56,1.47,180.99,1,1,1,0,0,0,0
15.5,5.17,1.22,41.26,0,1,1,1,0,3,0
22.7,4.55,0.53,53.87,1,1,1,0,0,1,0
12.96,14.29,0.48,92.69,0,1,1,0,0,3,0
7.49,0.27,1.86,31.37,1,1,0,0,0,2,0
17.23,0.18,0.31,220.82,1,1,0,1,0,2,0
3.93,3.12,0.83,47.59,1,1,1,0,0,0,0
21.51,5.04,1.26,183.38,1,0,1,0,0,2,0
14.52,1.02,1.34,42.74,1,1,0,0,0,1,0
5.51,2.44,0.98,28.89,1,1,1,0,0,1,0
13.75,0.56,0.75,110.09,0,1,0,0,0,3,0
3.0,3.09,0.96,171.83,1,0,0,0,0,4,0
19.21,0.12,0.45,141.75,1,1,1,0,0,0,0
2.76,14.89,1.95,58.27,0,0,1,1,0,3,0
50.42,5.08,1.56,42.7,1,1,0,0,0,4,0
28.17,7.73,1.54,46.58,0,0,1,1,0,3,0
9.65,14.77,1.83,119.08,0,1,0,0,0,1,0
7.27,4.17,0.1,40.18,1,0,0,0,0,2,0
60.89,1.21,0.4,64.3,1,0,1,0,0,5,0
1.78,2.0,1.56,96.14,1,1,1,0,0,0,0
0.33,2.69,1.27,189.39,1,1,1,1,0,3,0
9.59,2.83,1.27,44.39,0,1,1,1,1,2,0
14.43,0.96,0.88,74.63,1,0,0,0,0,3,0
8.93,3.01,1.36,86.73,1,1,0,1,1,1,0
12.19,6.19,0.37,67.31,1,1,1,1,0,1,0
7.94,0.7,0.77,130.26,1,1,0,0,0,5,0
16.61,2.77,0.24,201.52,1,0,0,0,0,3,0
12.82,3.76,1.42,97.36,1,0,0,1,0,1,0
33.39,6.47,1.82,147.13,1,0,0,0,0,3,0
8.98,12.02,0.88,5.49,1,1,1,0,0,1,0
5.61,9.5,1.2,94.03,1,1,0,1,0,4,0
11.73,0.32,1.41,23.33,1,1,1,0,0,3,0
9.91,0.38,1.03,130.95,1,1,0,1,0,1,0
29.78,4.35,1.81,30.06,1,0,0,0,0,2,0
13.79,1.42,1.2,233.78,1,1,1,0,1,2,0
3.84,5.38,1.8,136.74,0,1,1,0,0,3,0
22.47,4.25,0.12,58.7,1,1,0,0,1,3,0
45.1,3.5,0.72,176.85,1,1,0,0,0,1,0
0.7,20.59,1.58,61.84,1,0,0,1,0,4,0
39.3,7.45,0.69,97.83,1,1,1,0,0,3,0
17.67,2.71,0.31,136.22,0,1,1,1,0,3,0
